id,prediction,true
1,1,0
2,1,1
3,0,0
4,0,0
5,1,1
6,0,0
7,0,1
8,1,1
9,0,0
10,1,1
11,1,1
12,1,0
13,0,0
14,1,0
15,0,0
16,0,1
17,0,0
18,1,1
19,1,1
20,0,0
21,1,1
22,0,1
23,1,0
24,1,1
25,0,1
26,0,1
27,0,0
28,1,1
29,1,1
30,0,0
31,0,1
32,1,1
33,1,1
34,0,0
35,1,1
36,0,0
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,0
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,0,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,0
82,1,1
83,0,1
84,1,1
85,0,0
86,0,0
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,0
103,0,1
104,0,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,0
110,1,1
111,1,1
112,1,1
113,1,1
114,0,1
115,0,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,0,1
129,0,0
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,0,1
137,0,1
138,1,1
139,0,0
140,0,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,0,1
150,1,1
151,0,0
152,1,1
153,0,1
154,1,1
155,0,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,0,0
163,1,1
164,1,1
165,1,1
166,1,1
167,0,1
168,1,1
169,1,1
170,1,1
