id,prediction,true
1,0,1
2,1,0
3,1,1
4,0,1
5,0,1
6,0,1
7,1,1
8,0,1
9,0,0
10,0,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,1,1
18,0,0
19,0,0
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,0
26,0,0
27,1,1
28,0,0
29,0,1
30,0,0
31,0,1
32,1,1
33,0,0
34,0,0
35,0,1
36,1,1
37,0,0
38,0,0
39,0,1
40,0,1
41,1,1
42,0,0
43,1,1
44,0,1
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,1
51,0,0
52,0,0
53,0,1
54,0,1
55,0,1
56,0,0
57,0,1
58,1,1
59,0,0
60,0,1
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,1,0
67,1,1
68,1,1
69,0,1
70,0,0
71,1,1
72,0,0
73,0,1
74,0,1
75,0,1
76,1,1
77,0,1
78,0,0
79,0,0
80,1,1
81,0,1
82,0,1
83,0,1
84,1,1
85,0,1
86,0,1
87,0,1
88,0,0
89,0,1
90,0,1
91,0,0
92,1,1
93,0,1
94,0,0
95,0,1
96,0,0
97,0,1
98,0,0
99,0,0
100,0,1
101,0,0
102,1,1
103,1,0
104,1,1
105,0,1
106,1,1
107,0,1
108,0,0
109,1,0
110,0,1
111,0,1
112,0,0
113,0,0
114,1,1
115,0,0
116,1,1
117,0,0
118,0,1
119,1,1
120,1,0
121,0,1
122,0,0
123,0,0
124,0,0
125,0,1
126,1,1
127,1,1
128,1,1
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,1,1
135,0,1
136,0,1
137,0,0
138,0,0
139,1,1
140,1,1
141,0,0
142,0,0
143,0,1
144,0,0
145,0,0
146,0,1
147,0,0
148,0,1
149,0,0
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,0
156,0,1
157,0,0
158,0,0
159,0,0
160,0,1
161,1,1
162,0,1
163,0,1
164,1,1
165,0,0
166,0,0
167,0,1
168,0,1
169,1,1
170,0,1
171,1,1
172,0,1
173,0,0
174,0,0
175,0,1
176,0,1
177,0,0
178,0,1
179,0,0
180,0,1
181,1,1
182,1,1
183,0,1
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,1
190,1,1
191,0,1
192,0,1
193,0,0
194,0,0
195,0,1
196,0,1
197,0,1
198,0,0
199,0,1
200,0,1
201,1,1
202,0,1
203,1,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,0
209,0,0
210,1,1
211,0,0
212,0,1
213,0,1
214,0,1
215,1,1
216,0,0
217,0,1
218,0,0
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,0
225,0,1
226,0,1
227,1,1
228,0,0
229,0,0
230,0,1
231,0,1
232,0,1
233,0,1
234,0,0
235,1,1
236,1,1
237,0,1
238,0,0
239,0,1
240,1,1
241,1,1
242,0,0
243,1,1
244,0,0
245,0,1
246,0,1
247,1,1
248,0,0
249,0,0
250,0,1
251,0,0
252,1,1
253,1,1
254,0,1
255,0,1
256,0,1
257,0,1
258,1,1
259,0,0
260,0,0
261,0,1
262,1,0
263,0,0
264,1,1
265,1,1
266,0,0
267,0,1
268,1,0
269,1,1
270,0,1
271,0,1
272,0,1
273,0,1
274,1,1
275,0,1
276,0,1
277,1,1
278,0,1
279,1,0
280,0,1
281,1,1
282,0,1
283,0,0
284,0,0
285,0,1
286,0,0
287,0,1
288,1,1
289,1,1
290,0,0
291,0,1
292,0,1
293,0,0
294,0,1
295,1,1
296,0,1
297,1,1
298,0,0
299,0,1
300,0,1
301,0,1
302,0,1
303,0,0
304,0,0
305,0,1
306,1,1
307,1,1
308,0,1
309,0,1
310,0,1
311,0,1
312,0,0
313,0,1
314,1,0
315,0,0
316,0,0
317,1,1
318,1,1
319,0,0
320,0,1
321,0,0
322,0,0
323,0,1
324,0,0
325,0,1
326,0,0
327,0,1
328,0,0
329,0,0
330,0,1
331,0,0
332,0,1
333,0,0
334,0,1
335,0,1
336,0,1
337,0,1
338,0,1
339,1,0
340,1,1
341,1,1
342,0,0
343,0,1
344,0,1
345,0,1
346,0,1
347,0,0
348,0,0
349,1,1
350,1,1
351,0,1
352,0,0
353,0,0
354,0,0
355,0,1
356,1,1
357,0,1
358,0,0
359,0,0
360,0,0
361,0,1
362,0,0
363,1,1
364,1,1
365,0,0
366,0,0
367,1,0
368,0,0
369,0,1
370,1,1
371,1,1
372,0,0
373,1,1
374,0,1
375,0,1
376,0,1
377,0,0
378,0,1
379,0,1
380,1,1
381,0,1
382,0,1
383,0,1
384,1,1
385,0,0
386,0,1
387,1,1
388,0,1
389,1,1
390,0,1
391,0,1
392,0,1
393,0,0
394,0,1
395,0,0
396,0,1
397,0,0
398,0,0
399,0,0
400,0,1
401,0,1
402,0,1
403,0,1
404,0,0
405,0,0
406,1,1
407,0,1
408,0,1
409,1,1
410,0,0
411,1,1
412,0,0
413,1,1
414,0,1
415,0,1
416,0,0
417,0,0
418,0,1
419,0,1
420,1,1
421,0,0
422,1,1
423,1,1
424,1,1
425,1,1
426,0,1
427,1,1
428,1,1
429,0,1
430,1,1
431,1,1
432,1,1
433,0,1
434,0,0
435,0,0
436,0,0
437,0,0
438,0,1
439,0,0
440,0,0
441,0,1
442,0,1
443,0,0
444,0,0
445,1,1
446,0,0
447,0,0
448,0,0
449,0,0
450,0,1
451,0,1
452,1,0
453,0,0
454,1,0
455,0,0
456,0,1
457,0,1
458,0,1
459,0,0
460,0,1
461,0,1
462,0,0
463,0,0
464,0,0
465,0,1
466,0,1
467,1,1
468,0,1
469,0,0
470,1,1
471,1,1
472,0,1
473,1,0
474,0,0
475,0,0
476,0,0
477,0,1
478,0,1
479,0,0
480,0,1
481,0,0
482,1,0
483,0,1
484,0,0
485,1,0
486,0,0
487,0,0
488,0,0
489,1,1
490,0,0
491,0,1
492,0,0
493,0,1
494,0,0
495,1,1
496,0,1
497,0,0
498,0,0
499,0,0
500,1,1
501,0,1
502,0,0
503,0,0
504,1,1
505,0,1
506,0,1
507,0,0
508,0,1
509,0,1
510,0,1
511,0,0
512,0,0
513,0,0
514,1,1
515,0,1
516,0,0
517,0,1
518,0,0
519,0,0
520,0,0
521,0,1
522,0,1
523,0,1
524,1,1
525,0,0
526,0,1
527,1,1
528,1,1
529,0,0
530,0,1
531,0,1
532,1,0
533,0,1
534,0,1
535,1,0
536,0,0
537,0,1
538,0,1
539,0,1
540,0,1
541,0,1
542,0,1
543,0,0
544,0,0
545,0,0
546,0,0
547,1,1
548,0,0
549,0,1
550,0,0
551,0,1
552,0,1
553,0,0
554,0,0
555,0,0
556,0,0
557,0,1
558,0,1
559,0,0
560,0,0
561,0,0
562,0,0
563,0,1
564,0,1
565,0,1
566,1,1
567,0,1
568,1,1
569,1,1
570,0,0
571,0,0
572,0,1
573,0,1
574,0,0
575,0,0
576,0,0
577,0,0
578,0,1
579,0,1
580,1,0
581,0,0
582,1,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,1
588,0,1
589,0,0
590,0,0
591,0,1
592,0,0
593,1,1
594,1,1
595,0,0
596,0,1
597,0,0
598,0,1
599,0,1
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,1,1
606,0,1
607,1,1
608,0,0
609,0,1
610,1,1
611,1,1
612,1,1
613,1,1
614,1,1
615,1,1
616,1,1
617,0,0
618,0,1
619,0,1
620,0,0
621,0,1
622,0,0
623,0,1
624,1,1
625,1,1
626,1,0
627,0,1
628,0,0
629,1,1
630,0,1
631,1,1
632,0,0
633,0,0
634,0,1
635,1,1
636,0,1
637,1,1
638,0,0
639,0,1
640,1,1
641,0,1
642,0,0
643,0,0
644,0,0
645,0,0
646,1,1
647,0,1
648,0,1
649,0,1
650,1,1
651,0,0
652,0,1
653,0,1
654,0,0
655,0,1
656,1,1
657,1,1
658,1,1
659,0,1
660,1,1
661,0,1
662,0,1
663,0,0
664,1,1
665,0,0
666,0,1
667,1,1
668,1,1
669,0,1
670,0,1
671,0,1
672,0,0
673,1,1
674,0,1
675,0,1
676,0,1
677,0,0
678,0,1
679,1,1
680,0,0
681,0,0
682,0,0
683,0,1
684,0,0
685,0,1
686,0,0
687,0,0
688,0,0
689,0,1
690,0,0
691,0,1
692,0,0
693,1,1
694,0,0
695,0,1
696,0,1
697,0,1
698,0,1
699,0,1
700,1,1
701,1,0
702,0,1
703,0,1
704,0,0
705,0,1
706,0,1
707,0,1
708,1,1
709,0,0
710,0,0
711,1,1
712,0,1
713,0,1
714,0,0
715,0,1
716,0,1
717,0,1
718,1,1
719,0,0
720,1,1
721,0,0
722,0,0
723,0,1
724,0,1
725,0,1
726,0,1
727,0,0
728,0,0
729,0,1
730,0,1
731,0,1
732,0,0
733,0,1
734,0,0
735,1,1
736,0,1
737,0,1
738,0,1
739,0,0
740,0,1
741,0,1
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,1,1
750,1,1
751,0,1
752,0,1
753,0,0
754,0,1
755,0,0
756,0,0
757,0,0
758,1,1
759,0,0
760,0,0
761,0,1
762,1,1
763,1,1
764,0,0
765,1,1
766,0,1
767,0,0
768,1,1
769,0,0
770,0,1
771,0,1
772,0,0
773,0,1
774,0,1
775,0,0
776,1,1
777,0,0
778,0,0
779,0,0
780,0,1
781,1,1
782,1,1
783,0,0
784,0,1
785,0,1
786,0,1
787,1,0
788,1,1
789,0,1
790,0,0
791,1,1
792,1,1
793,0,0
794,0,1
795,0,1
796,0,0
797,0,0
798,1,1
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,1
805,0,0
806,1,1
807,0,1
808,1,1
809,0,0
810,0,0
811,1,1
812,0,0
813,0,1
814,0,0
815,0,0
816,1,1
817,0,1
818,0,1
819,0,1
820,0,1
821,0,0
822,0,1
823,1,1
824,0,1
825,0,0
826,1,1
827,0,0
828,0,1
829,1,1
830,0,0
831,0,1
832,0,1
833,1,1
834,0,1
835,1,0
836,1,1
837,0,1
838,0,0
839,0,1
840,1,1
841,0,0
842,0,1
843,0,1
844,0,0
845,0,0
846,0,1
847,0,1
848,0,0
849,1,0
850,0,1
851,0,1
852,0,0
853,1,1
854,0,1
855,0,1
856,0,1
857,0,0
858,1,1
859,0,1
860,0,0
861,1,1
862,0,0
863,0,1
864,1,1
865,1,1
866,0,0
867,0,1
868,0,1
869,0,0
870,0,1
871,0,0
872,0,0
873,0,0
874,1,1
875,0,0
876,0,1
877,0,1
878,0,0
879,0,1
880,1,0
881,1,1
882,0,1
883,0,1
884,0,0
885,0,0
886,0,0
887,1,1
888,0,0
889,0,0
890,0,0
891,0,0
892,1,1
893,0,1
894,0,0
895,1,1
896,0,0
897,0,0
898,0,0
899,0,0
900,0,1
901,0,1
902,1,1
903,1,1
904,1,0
905,0,0
906,1,1
907,0,1
908,1,1
909,0,1
910,0,1
911,1,1
912,0,1
913,1,1
914,0,0
915,1,1
916,0,1
917,0,1
918,0,1
919,0,1
920,0,1
921,0,0
922,0,0
923,1,0
924,0,1
925,0,0
926,0,1
927,1,1
928,0,0
929,1,1
930,0,0
931,0,0
932,0,0
933,1,0
934,1,1
935,0,1
936,0,1
937,0,1
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,1,1
945,1,1
946,1,1
947,0,0
948,0,1
949,1,1
950,1,1
951,0,0
952,1,1
953,0,0
954,0,1
955,1,1
956,0,1
957,1,0
958,1,1
959,0,1
960,0,0
961,0,1
962,0,0
963,0,1
